Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.03,-.36,-.12,-.01,-.83,-.45,-.27,-.16,-.08,-.03,.05,.65
1881,-.07,-.17,.02,-.33,.11,-.06,-.94,-.41,-.19,.09,.13,-.04,-.07,.57
1882,-.10,-.21,.00,-.30,-.04,.02,-1.43,-.25,-.15,-.06,-.03,.02,.04,.60
1883,-.17,-.28,-.05,-.34,-.16,-.01,-.20,-.53,-.26,-.19,-.13,-.03,.07,.48
1884,-.28,-.43,-.14,-.60,-.14,-.14,-1.32,-.62,-.47,-.14,-.15,-.18,-.02,.63
1885,-.33,-.43,-.23,-.64,-.13,-.27,-1.52,-.66,-.45,-.08,-.18,-.33,-.15,.80
1886,-.31,-.43,-.19,-.56,-.20,-.21,-1.60,-.49,-.39,-.23,-.16,-.19,-.21,.57
1887,-.36,-.44,-.28,-.52,-.29,-.28,-1.78,-.50,-.28,-.31,-.28,-.27,-.26,.30
1888,-.17,-.24,-.11,-.41,.10,-.28,-1.32,-.42,-.24,.05,.15,-.30,-.22,.14
1889,-.10,-.18,-.03,-.29,.08,-.16,-.70,-.21,-.27,.00,.16,-.15,-.15,.43
1890,-.35,-.39,-.31,-.45,-.37,-.22,-1.15,-.54,-.26,-.28,-.45,-.17,-.27,.13
1891,-.22,-.26,-.18,-.42,-.08,-.21,-1.14,-.32,-.36,-.01,-.15,-.17,-.24,-.18
1892,-.27,-.40,-.14,-.43,-.29,-.08,-1.17,-.64,-.17,-.34,-.24,.03,-.21,.07
1893,-.31,-.48,-.14,-.51,-.35,-.04,-.74,-.54,-.47,-.42,-.28,.08,-.20,-.06
1894,-.30,-.39,-.20,-.33,-.33,-.23,-1.00,-.32,-.18,-.49,-.16,-.14,-.35,-.40
1895,-.22,-.31,-.14,-.41,-.07,-.25,-.73,-.52,-.27,-.15,.02,-.19,-.32,-.61
1896,-.11,-.20,-.02,-.36,.10,-.15,-.94,-.36,-.22,.04,.16,-.14,-.13,.23
1897,-.11,-.17,-.04,-.36,.17,-.23,-.61,-.46,-.24,.12,.22,-.18,-.27,.38
1898,-.27,-.28,-.25,-.34,-.22,-.26,-1.17,-.20,-.23,-.20,-.24,-.27,-.21,.35
1899,-.17,-.21,-.13,-.24,-.11,-.18,-1.09,-.09,-.15,-.17,-.06,-.14,-.22,.56
1900,-.08,-.09,-.05,-.20,.17,-.29,-.58,-.13,-.16,.08,.27,-.28,-.29,.25
1901,-.15,-.13,-.17,-.17,-.03,-.30,-.45,-.09,-.14,-.07,.01,-.27,-.34,.24
1902,-.27,-.34,-.21,-.53,-.03,-.34,-1.43,-.50,-.32,-.03,-.03,-.27,-.43,-.07
1903,-.37,-.38,-.35,-.47,-.28,-.38,-.31,-.42,-.55,-.24,-.31,-.35,-.40,-.49
1904,-.46,-.48,-.44,-.51,-.45,-.44,-.21,-.59,-.55,-.44,-.46,-.36,-.49,-1.31
1905,-.26,-.29,-.21,-.41,-.08,-.35,-.09,-.22,-.62,-.13,-.02,-.32,-.37,-.33
1906,-.22,-.25,-.19,-.26,-.19,-.23,-.30,-.06,-.39,-.23,-.14,-.20,-.22,-.71
1907,-.38,-.48,-.28,-.59,-.30,-.29,-.62,-.72,-.51,-.32,-.27,-.21,-.37,-1.20
1908,-.43,-.47,-.39,-.49,-.43,-.36,-.28,-.54,-.51,-.44,-.42,-.29,-.48,.68
1909,-.48,-.50,-.46,-.54,-.47,-.44,-.79,-.62,-.43,-.46,-.49,-.37,-.52,-.56
1910,-.43,-.45,-.41,-.42,-.48,-.38,-.62,-.24,-.49,-.50,-.46,-.33,-.45,.16
1911,-.44,-.43,-.44,-.43,-.42,-.48,-.33,-.41,-.47,-.44,-.40,-.44,-.53,.05
1912,-.36,-.47,-.23,-.60,-.17,-.36,-.55,-.78,-.50,-.28,-.06,-.36,-.29,-1.63
1913,-.34,-.43,-.25,-.44,-.27,-.35,-.53,-.33,-.50,-.40,-.13,-.28,-.40,-1.03
1914,-.15,-.20,-.10,-.25,-.06,-.17,-.41,-.16,-.28,-.13,.01,-.15,-.18,-.36
1915,-.14,-.15,-.12,-.24,-.01,-.22,-.64,-.16,-.18,-.03,.00,-.15,-.23,-1.98
1916,-.36,-.43,-.30,-.37,-.45,-.23,-.52,-.54,-.24,-.51,-.39,-.23,-.17,-1.04
1917,-.46,-.58,-.35,-.50,-.64,-.19,-.87,-.49,-.42,-.71,-.56,-.23,-.09,.07
1918,-.29,-.40,-.19,-.41,-.33,-.14,-1.05,-.26,-.34,-.40,-.26,-.05,-.23,-.28
1919,-.28,-.36,-.19,-.44,-.20,-.22,-.74,-.56,-.30,-.24,-.16,-.14,-.32,.20
1920,-.27,-.31,-.23,-.25,-.25,-.32,-.05,-.20,-.34,-.39,-.11,-.19,-.48,-1.14
1921,-.19,-.12,-.26,.01,-.25,-.31,-.05,.17,-.08,-.30,-.20,-.23,-.38,-.84
1922,-.28,-.28,-.29,-.25,-.32,-.27,-.36,-.40,-.12,-.33,-.31,-.24,-.28,-.28
1923,-.27,-.22,-.30,-.15,-.30,-.33,.13,-.15,-.25,-.33,-.27,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.14,-.26,-.43,.42,-.25,-.22,-.27,-.24,-.39,-.45,-.53
1925,-.22,-.14,-.29,-.04,-.24,-.37,-.12,.18,-.17,-.29,-.19,-.24,-.55,-.86
1926,-.11,.02,-.21,.03,.02,-.40,.54,.17,-.21,.00,.03,-.34,-.45,-.63
1927,-.22,-.14,-.29,-.13,-.16,-.38,-.01,-.21,-.12,-.15,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.06,-.15,-.39,.69,-.16,-.22,-.16,-.15,-.28,-.48,-2.12
1929,-.36,-.33,-.38,-.37,-.28,-.45,.13,-.61,-.37,-.28,-.28,-.42,-.44,-1.07
1930,-.16,-.01,-.28,.05,-.11,-.42,.52,.05,-.10,-.10,-.11,-.33,-.47,-2.59
1931,-.09,.05,-.22,.01,.08,-.42,.55,-.04,-.13,.10,.05,-.42,-.40,-.41
1932,-.16,-.05,-.25,.04,-.16,-.35,.47,.20,-.21,-.19,-.14,-.21,-.53,-.99
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.17,-.46,-.12,-.28,-.28,-.21,-.48,-1.14
1934,-.12,.00,-.25,.18,-.25,-.26,.87,.31,-.12,-.26,-.24,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.04,-.18,-.38,.34,-.05,-.15,-.16,-.20,-.30,-.42,-1.71
1936,-.15,-.03,-.26,-.02,-.13,-.30,.39,.11,-.25,-.05,-.20,-.26,-.33,-.03
1937,-.02,.13,-.17,.20,-.05,-.22,1.24,.03,-.02,.01,-.11,-.19,-.26,.37
1938,.00,.16,-.18,.39,-.22,-.10,1.50,.39,.04,-.17,-.27,-.06,-.11,-.86
1939,-.02,.09,-.13,.23,-.12,-.12,.55,.28,.09,-.11,-.13,-.04,-.19,-1.60
1940,.13,.18,.09,.11,.28,-.07,.99,-.02,-.09,.27,.29,.03,-.20,-.05
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.09,.54,.44,.04,-.15,-.46
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.07,.12,.04,.05,-.05,-.90
